,Model,MAE,MSE,RMSE,R2_score,Adjusted_R2
0,GLM Poisson,5.4619,53.312,7.3015,0.6615,0.6576
1,Linear Regression,5.9045,57.7927,7.6021,0.633,0.6288
2,Lasso,5.9041,57.8277,7.6045,0.6328,0.6286
3,Ridge,5.9045,57.7927,7.6021,0.633,0.6288
4,Elastic Net,5.9045,57.7956,7.6023,0.633,0.6288
